Bark Lake ,Baskatong ,Cabonga ,Carillon et Hull ,Chelsea ,Chenaux et Noire ,Chute-des-Chats ,Des Joachims ,Dozois ,High Falls ,Kamaniskeg ,Kiamika ,Kipawa ,Lac Temiscamingue a Angliers ,Lac Victoria et lac Granet ,Lac des Quinze ,Lac du poisson blanc ,Lady Evelyn ,Lower Notch et Indian Chute ,Madawaska-Arnprior ,Maniwaki ,Masson ,Mistinikon ,Mitchinamecus ,Mont-Laurier ,Mountain Chute ,Otto Holden ,Paugan ,Rabbit Lake ,Rapide 2 ,Rapide 7 ,Riviere Blanche ,Riviere Bonnechere ,Riviere Coulonge ,Riviere Dumoine ,Riviere Kinojevis ,Riviere Mattawa ,Riviere Mississippi ,Riviere Petawawa ,Riviere Petite Nation ,Riviere Rideau ,Riviere Rouge ,Riviere South Nation
19.222,103.37,23.391,57.975,5.6606,42.076,8.041,20.057,64.065,8.459,21.909,8.767,31.428,22.735,8.0414,38.177,18.646,4.3549,15.166,6.1116,20.384,5.758,7.5056,7.9649,46.379,9.2422,8.5437,14.201,1.8467,3.0725,11.767,8.199,15.184,40.078,31.644,18.333,11.137,12.754,28.833,14.552,12.848,62.905,10.048
19.894,102.24,23.234,65.354,6.0154,40.749,7.934,19.96,63.375,8.332,23.294,8.599,31.279,22.308,8.1246,37.945,18.771,4.3158,15.021,6.5548,20.037,5.683,7.4781,8.1027,45.174,9.8897,8.8148,13.988,1.8749,3.038,12.29,8.105,15.98,39.628,31.262,18.019,11.388,12.534,28.429,14.182,12.614,61.773,9.568
29.309,107.07,27.161,89.106,6.9277,42.455,11.028,20.651,64.108,8.896,29.535,8.538,31.22,21.924,9.5401,37.763,21.374,4.2781,14.879,7.5932,41.367,6.295,7.4512,12.559,57.209,11.376,9.7424,20.759,1.9673,3.0033,14.902,8.029,25.281,40.637,30.976,17.762,17.441,16.874,30.252,15.775,25.416,63.829,89.711
47.582,155.26,29.281,131.47,8.2459,62.179,14.627,22.481,65.231,11.956,42.864,10.21,31.587,21.591,11.246,37.614,29.958,4.248,14.758,9.0789,70.146,8.366,7.4262,29.125,104.7,12.916,10.447,32.155,2.0699,2.9732,17.012,7.976,34.826,44.942,30.73,17.535,23.984,27.046,33.454,27.354,47.341,85.849,290.27
57.207,173,34,145.37,9.4093,78.581,15.713,24.881,66.578,14.84,55.078,12.011,33.266,21.279,12.173,37.471,34.813,4.2272,14.642,10.541,83.767,10.119,7.4031,21.325,148.64,13.819,10.687,39.3,2.1955,2.9451,18.038,7.925,37.817,52,30.458,17.313,26.04,35,15,40.406,42,128,192
56.617,182,23,138.52,10.139,93.787,14.902,27.188,68.069,15.704,59.341,13.324,33.973,20.984,12.428,37.332,36.372,4.2365,14.529,11.685,82.686,10.583,7.3812,19.971,160.61,14.116,10.795,41.29,2.3282,2.9181,18.348,7.876,35.754,52,30.226,17.096,25.553,36,16,43.08,48,128,93
53.273,247,18,125.8,10.54,108.64,13.551,29.148,69.325,15.631,58.04,14.111,30.674,20.706,12.337,37.195,36.688,4.2838,14.419,12.454,76.737,10.389,7.3611,18.043,155.66,14.109,11.016,41.067,2.4226,2.8931,18.258,7.829,31.825,52,30.111,16.884,25.019,35,16,39.807,62,128,62
50.542,191,18,114.08,10.777,120.38,12.411,30.705,70.094,15.563,55.8,14.252,30.914,20.444,12.123,37.061,36.794,4.3417,14.311,12.907,70.599,10.01,7.342,16.958,144.13,14.029,11.308,40.078,2.4603,2.8691,17.953,7.783,27.998,48,30.068,16.676,25.076,34,15,34.326,62,128,49
48.827,186,17,104.53,10.921,127.4,11.72,31.864,70.331,15.549,55.535,13.901,36.334,20.196,11.893,36.929,36.956,4.3788,14.207,13.151,64.938,9.557,7.3231,15.044,129.75,14.003,11.525,38.619,2.4513,2.8461,17.54,7.738,25.138,48,29.993,16.472,25.099,37,15,29.22,52,128,42
49.178,146,26,96.838,10.981,129.86,12.163,32.641,70.13,15.347,57.92,13.318,39.548,19.964,11.678,36.801,37.133,4.3841,14.105,13.325,59.576,9.058,7.3054,14.004,114.92,14.173,11.59,36.806,2.4146,2.8251,17.087,7.695,24.532,44,29.832,16.274,25.298,38,15,26.017,62,128,35
49.251,117,35,90.743,10.956,128.94,12.697,33.061,69.63,14.902,61.367,12.69,40.841,19.759,11.479,36.676,37.238,4.3636,14.013,13.53,54.643,8.573,7.291,13.046,101.65,14.607,11.513,34.84,2.3658,2.8051,16.633,7.668,24.62,40,29.601,16.082,25.114,40,15,25.403,58,128,28
50.199,147,42,86.185,10.873,125.79,12.936,33.118,68.937,14.395,65.245,12.109,45.893,19.566,11.274,36.551,37.309,4.3275,13.924,13.879,50.373,8.211,7.277,13.002,90.879,15.535,11.337,33.227,2.3136,2.786,16.184,7.641,25.838,40,29.321,15.893,24.118,38,15,27.187,58,128,25
68.622,70,33,83.337,10.792,121.25,18.551,32.752,68.021,14.116,74.324,12.111,49.481,19.386,10.939,36.428,38.008,4.2849,13.837,14.568,45.297,8.093,7.2631,13.002,80.907,17.597,11.099,32.363,2.2617,2.7671,15.693,7.615,43.73,37,29.012,15.708,27.439,36,16,30.85,60,128,24
82.407,207,38,83.057,10.756,115.33,22.227,31.885,67.096,13.717,83.933,12.084,56.351,19.217,10.685,36.306,37.998,4.2422,13.752,15.322,44.738,8.068,7.25,13.044,71.169,19.854,10.88,32.604,2.2149,2.75,15.328,7.589,59.864,37,28.702,15.526,32.828,46,16,37.843,90,128,24
84.502,178,32,82.224,10.72,109.84,22.144,30.718,66.216,13.62,87.679,12.275,49.127,19.058,10.455,36.185,37.235,4.2018,13.669,15.85,44.123,8.184,7.237,13.958,69.242,21.156,10.675,32.737,2.172,2.7331,15.011,7.564,63.004,37,28.396,15.348,34.416,45,17,44.203,157,128,58
81.44,143,28,80.648,10.654,104.71,20.367,29.522,65.379,13.511,86.228,12.401,47.366,18.91,10.242,36.065,36.343,4.1646,13.587,16.069,43.178,8.194,7.224,14.044,67.446,21.577,10.483,32.611,2.1325,2.717,14.723,7.539,58.383,37,28.095,15.174,33.373,45,18,44.612,151,101,73
78.296,129,15,79.167,10.593,99.916,18.353,28.373,64.58,13.556,83.445,12.336,42.118,18.77,10.044,35.945,35.458,4.1305,13.507,16.026,42.327,8.201,7.211,15.002,65.955,21.584,10.3,32.423,2.0959,2.7011,14.458,7.514,51.583,37,27.798,15.003,31.743,52,19,41.883,184,101,67
75.986,124,11,77.964,10.553,95.441,16.742,27.288,63.816,13.685,82.259,12.086,40.996,18.638,9.8579,35.823,34.589,4.0992,13.427,15.804,41.482,8.2,7.1979,15.998,64.574,21.456,10.129,32.056,2.062,2.6869,14.214,7.488,45.499,37,27.504,14.834,30.415,43,19,38.001,158,101,60
73.874,187,10,76.8,10.516,91.259,15.671,26.268,63.086,13.733,83,11.738,34.575,18.513,9.6847,35.7,33.717,4.0702,13.348,15.49,40.5,8.147,7.184,16.956,63.057,21.231,9.9687,31.433,2.0307,2.6721,13.988,7.462,41.049,34,27.213,14.666,29.225,49,19,34.377,158,101,58
71.382,153,13,75.524,10.454,87.334,15.013,25.308,62.385,13.627,84.179,11.364,35.534,18.395,9.5226,35.575,32.824,4.0433,13.269,15.17,39.386,8.037,7.1698,17.042,61.369,20.879,9.8223,30.6,2.0019,2.658,13.778,7.435,38.104,34,26.924,14.499,27.802,46,19,31.915,177,101,44
68.602,147,15,74.174,10.353,83.647,14.589,24.406,61.711,13.396,84.38,11.005,42.494,18.282,9.3715,35.447,31.904,4.0188,13.19,14.946,38.221,7.895,7.1541,17.956,59.609,20.425,9.6983,29.656,1.9757,2.644,13.585,7.407,36.376,31,26.635,14.334,26.347,42,18,31.107,177,101,35
65.557,126,22,72.894,10.225,80.185,14.368,23.556,61.065,13.09,82.877,10.678,48.784,18.174,9.2309,35.317,30.952,3.996,13.111,14.968,37.084,7.737,7.1388,17.998,57.875,19.925,9.6209,28.649,1.9519,2.6301,13.407,7.378,35.333,31,26.349,14.169,24.893,42,19,31.915,151,101,31
61.712,167,28,71.926,10.102,76.941,13.897,22.758,60.444,12.732,79.342,10.336,53.465,18.073,9.103,35.185,29.935,3.9749,13.033,15.333,35.807,7.564,7.122,18.002,56.198,19.477,9.6535,27.514,1.9321,2.617,13.251,7.348,33.578,29,26.066,14.007,22.806,44,21,33.69,133,101,29
59.234,142,29,71.79,10.068,73.896,13.632,22.007,59.845,12.436,75.999,10.087,57.437,17.975,9.0156,35.051,28.73,3.9554,12.956,16.056,34.878,7.437,7.1053,18.044,54.6,19.45,9.9629,26.701,1.9182,2.6041,13.144,7.318,33.116,29,25.785,13.846,21.857,43,22,34.563,129,101,26
58.943,84,34,73.951,10.255,71.04,14.871,21.304,59.806,12.159,74.688,9.856,60.664,17.883,9.2085,34.945,27.577,3.9386,12.89,17.161,34.21,7.331,7.091,18.956,53.158,20.119,10.989,25.946,1.9157,2.5932,13.203,7.295,35.914,29,25.715,13.704,27.95,50,22,33.104,122,101,25
60.759,133,42,82.206,10.857,69.786,18.747,20.655,60.087,12.212,78.06,9.65,62.122,17.814,9.5397,34.847,26.54,3.9228,12.827,18.798,36.377,7.683,7.0768,18.998,60.901,21.928,11.761,28.85,1.925,2.585,13.328,7.28,38.745,34,25.748,13.587,35.06,56,25,39.046,225,101,177
61.175,85,30,84.864,11.551,69.078,20.723,20.046,60.765,12.329,82.05,9.471,55.799,17.749,9.7945,34.746,25.661,3.9086,12.764,20.563,38.922,8.103,7.061,19,69.996,23.862,12.009,32.34,1.9528,2.577,13.501,7.264,39.363,34,25.636,13.469,36.855,58,25,47.242,228,101,249
59.893,300,24,83.05,11.966,70.012,20.252,19.473,61.686,12.23,82.049,9.337,55.828,17.687,9.9513,34.642,24.884,3.8956,12.701,22.014,39.579,8.192,7.0451,18.998,72.53,25.024,12.089,33.431,1.9898,2.569,13.673,7.246,38.179,34,25.549,13.352,35.136,58,25,48.457,180,101,267
58.837,362,20,80.058,12.09,72.022,19.298,18.935,62.507,12.077,79.639,9.23,55.629,17.629,10.036,34.54,24.174,3.8835,12.641,22.967,39.426,8.115,7.0299,18.956,71.234,25.725,12.277,33.224,2.0179,2.5611,13.789,7.228,36.439,34,25.691,13.236,32.738,57,26,45.594,151,101,126
58.326,207,17,77.402,12.044,73.797,18.158,18.426,63.008,12.036,77.378,9.118,54.94,17.574,10.072,34.437,23.506,3.8725,12.581,23.402,39.178,8.023,7.0138,18.042,68.529,26.201,12.54,32.631,2.0289,2.5539,13.827,7.21,34.809,31,25.988,13.122,30.888,58,26,41.134,115,101,104
57.844,207,12,75.178,11.918,74.579,17.044,17.943,63.139,12.063,76.458,8.991,52.846,17.522,10.072,34.33,22.869,3.8622,12.52,23.376,38.762,7.921,6.9961,17.956,65.131,26.424,12.732,31.869,2.0245,2.546,13.794,7.19,33.52,31,26.216,13.006,29.411,62,26,36.794,71,101,85
56.963,174,14,73.189,11.741,74.253,16.196,17.485,62.958,12.042,76.803,8.855,49.226,17.472,10.041,34.219,22.254,3.8524,12.459,22.981,38.036,7.789,6.9788,16.998,61.484,26.465,12.774,30.95,2.0104,2.5381,13.708,7.168,32.573,31,26.259,12.89,27.939,63,27,33.635,28,49,60
55.592,174,17,71.363,11.514,73.048,15.674,17.05,62.553,11.928,77.514,8.718,44.581,17.423,9.9865,34.106,21.66,3.8434,12.397,22.32,37.063,7.634,6.96,16,58.048,26.377,12.672,29.928,1.9914,2.5309,13.59,7.146,31.886,31,26.132,12.774,26.405,63,27,32.205,28,49,39
53.847,177,15,69.703,11.236,71.265,15.417,16.636,62.009,11.744,77.718,8.586,44.676,17.378,9.9084,33.991,21.085,3.8351,12.335,21.487,35.995,7.477,6.9409,15,55.097,26.14,12.473,28.888,1.9706,2.523,13.456,7.122,31.348,31,25.901,12.657,24.918,62,27,32.498,28,49,28
51.819,139,16,68.2,10.91,69.165,15.243,16.242,61.34,11.529,76.784,8.459,43.017,17.333,9.7858,33.873,20.529,3.8271,12.273,20.548,34.927,7.333,6.9212,14,52.683,25.705,12.211,27.901,1.9496,2.515,13.31,7.098,30.679,31,25.593,12.541,22.608,58,27,33.956,28,49,16
49.708,140,17,66.789,10.538,66.876,14.923,15.867,60.611,11.268,74.41,8.338,40.059,17.291,9.6419,33.752,19.987,3.8193,12.21,19.543,33.592,7.142,6.9028,13,49.452,25.053,11.972,26.499,1.9296,2.507,13.167,7.072,30.154,31,25.294,12.424,21.784,58,27,34.544,28,49,12
47.736,111,14,65.657,10.204,64.462,14.728,15.507,59.912,11.071,71.472,8.224,42.472,17.249,9.5042,33.627,19.431,3.8121,12.148,18.543,32.869,7.054,6.883,12,48.356,24.365,11.751,25.847,1.9106,2.4989,13.032,7.045,29.506,31,24.999,12.306,21.034,57,27,33.065,28,49,12
45.871,127,12,64.653,9.9009,62.187,14.553,15.163,59.24,10.886,68.271,8.116,42.864,17.208,9.3743,33.499,18.902,3.8051,12.084,17.572,32.186,6.969,6.8629,11,47.32,23.63,11.542,25.24,1.8926,2.4901,12.906,7.017,28.871,29,24.707,12.188,20.354,58,27,31.709,28,49,10
44.101,106,14,63.72,9.6223,60.034,14.353,14.832,58.593,10.711,64.92,8.014,40.427,17.167,9.2531,33.367,18.405,3.7983,12.019,16.644,31.538,6.887,6.8419,10.002,46.338,22.86,11.344,24.675,1.8758,2.4819,12.787,6.988,28.259,29,24.418,12.068,19.735,55,27,30.447,28,49,9
42.423,118,15,62.838,9.3654,57.999,14.115,14.515,57.97,10.547,61.563,7.916,42.527,17.127,9.1392,33.232,17.939,3.7922,11.954,15.773,30.923,6.808,6.82,9.046,45.407,22.109,11.157,24.149,1.86,2.473,12.677,6.957,27.671,26,24.133,11.948,19.173,54,27,29.175,28,49,8
40.833,129,17,61.997,9.1281,56.08,13.889,14.212,57.371,10.391,58.395,7.823,42.677,17.088,9.0332,33.096,17.503,3.7863,11.89,14.977,30.341,6.732,6.7981,9.0021,44.526,21.388,10.98,23.659,1.8457,2.4641,12.574,6.926,27.106,26,23.853,11.829,18.666,50,27,27.988,28,49,7
39.323,82,15,61.195,8.9094,54.269,13.673,13.921,56.794,10.246,55.462,7.734,39.754,17.051,8.935,32.959,17.095,3.7811,11.833,14.278,29.791,6.659,6.7769,9.0001,43.691,20.702,10.814,23.209,1.8325,2.4559,12.479,6.895,26.564,24,23.588,11.711,18.207,47,27,26.884,28,49,5
37.892,118,15,60.433,8.7069,52.563,13.466,13.643,56.237,10.108,52.754,7.649,40.475,17.015,8.8438,32.82,16.717,3.7761,11.777,13.668,29.27,6.589,6.755,8.9999,42.912,20.052,10.656,22.79,1.8202,2.447,12.391,6.863,26.043,24,23.328,11.593,17.79,46,27,25.853,28,49,5
36.534,78,14,59.704,8.5196,50.951,13.268,13.376,55.7,9.979,50.254,7.568,39.177,16.979,8.7579,32.678,16.362,3.7712,11.72,13.118,28.776,6.522,6.7329,8.998,42.174,19.436,10.507,22.401,1.8087,2.438,12.309,6.829,25.542,22,23.07,11.476,17.411,46,27,24.889,28,49,5
35.245,87,14,59.006,8.3459,49.425,13.078,13.118,55.181,9.857,47.946,7.49,43.407,16.943,8.6777,32.535,16.03,3.7669,11.662,12.605,28.307,6.457,6.71,8.9561,41.474,18.853,10.365,22.038,1.7978,2.4289,12.232,6.796,25.059,22,22.816,11.358,17.068,49,27,23.988,28,49,5
34.022,59,15,58.335,8.185,47.979,12.895,12.87,54.678,9.741,45.815,7.415,52.146,16.908,8.6018,32.389,15.716,3.7622,11.605,12.113,27.875,6.394,6.687,8.0438,40.809,18.301,10.23,21.701,1.7873,2.4191,12.159,6.761,24.595,20,22.564,11.241,16.756,56,27,23.145,28,49,4
32.861,81,15,57.69,8.0357,46.609,12.72,12.631,54.192,9.633,43.849,7.342,51.814,16.874,8.5316,32.242,15.42,3.758,11.547,11.636,27.467,6.334,6.6639,7.9999,40.176,17.779,10.102,21.387,1.7777,2.41,12.09,6.726,24.149,20,22.316,11.126,16.474,44,27,22.356,28,38,4
31.759,113,16,57.07,7.8974,45.312,12.553,12.402,53.734,9.53,42.035,7.272,48.59,16.84,8.4656,32.095,15.142,3.7538,11.491,11.171,27.081,6.275,6.6401,7.9542,39.575,17.284,9.9808,21.095,1.7685,2.401,12.025,6.691,23.72,20,22.072,11.011,16.218,39,27,21.617,28,38,4
30.713,73,18,56.472,7.7689,44.081,12.391,12.18,53.29,9.433,40.36,7.204,50.116,16.807,8.4036,31.945,14.878,3.7492,11.434,10.718,26.714,6.219,6.6168,6.9999,39.003,16.816,9.8652,20.823,1.7597,2.3919,11.964,6.656,23.306,20,21.831,10.897,15.986,38,27,20.924,28,38,4
29.72,101,27,55.897,7.6495,42.913,12.237,11.965,52.858,9.342,38.812,7.138,50.472,16.774,8.3456,31.795,14.628,3.745,11.377,10.275,26.367,6.165,6.5921,6.0439,38.458,16.372,9.755,20.57,1.7514,2.382,11.906,6.62,22.908,20,21.594,10.784,15.775,39,27,20.273,28,38,4
28.777,20,21,55.342,7.5387,41.799,12.088,11.756,52.437,9.256,37.38,7.073,48.804,16.74,8.2913,31.641,14.391,3.7407,11.32,9.8385,26.035,6.113,6.5678,5.9582,37.937,15.951,9.6497,20.333,1.7433,2.372,11.85,6.583,22.523,20,21.357,10.67,15.583,60,27,19.662,28,38,4
27.88,111,20,54.804,7.4355,40.726,11.944,11.551,52.025,9.174,36.052,7.01,45.554,16.705,8.2394,31.484,14.165,3.7359,11.26,9.4058,25.718,6.062,6.5419,5.044,37.439,15.551,9.5492,20.111,1.7353,2.362,11.796,6.544,22.152,20,21.121,10.556,15.408,63,27,19.087,28,38,4
27.026,62,20,54.282,7.3395,39.694,11.805,11.349,51.622,9.097,34.821,6.949,40.391,16.669,8.1904,31.324,13.949,3.731,11.199,8.9811,25.414,6.013,6.515,5.002,36.962,15.172,9.453,19.903,1.7276,2.352,11.744,6.504,21.794,20,20.886,10.44,15.248,58,27,18.544,28,38,5
26.214,42,17,53.776,7.2502,38.705,11.67,11.152,51.228,9.023,33.679,6.888,39.716,16.633,8.1443,31.161,13.743,3.726,11.137,8.5752,25.124,5.966,6.488,5.0001,36.505,14.811,9.3608,19.709,1.7203,2.3419,11.694,6.463,21.448,20,20.653,10.323,15.102,59,27,18.032,28,38,5
25.443,57,16,53.286,7.1669,37.758,11.541,10.959,50.842,8.954,32.618,6.828,37.342,16.595,8.1003,30.996,13.547,3.7209,11.075,8.2051,24.847,5.92,6.4609,5.0001,36.066,14.469,9.2724,19.526,1.7131,2.331,11.645,6.422,21.115,20,20.421,10.208,14.969,58,27,17.55,28,38,5
24.708,89,17,52.81,7.0892,36.852,11.419,10.771,50.464,8.889,31.634,6.77,39.392,16.558,8.0584,30.83,13.359,3.7158,11.011,7.8852,24.583,5.876,6.4329,5.002,35.646,14.146,9.1875,19.355,1.7061,2.32,11.598,6.38,20.793,20,20.192,10.092,14.847,51,27,17.098,28,38,5
24.009,42,14,52.347,7.0165,35.979,11.302,10.586,50.093,8.827,30.719,6.713,39.312,16.519,8.0192,30.661,13.179,3.7101,10.947,7.6202,24.328,5.833,6.404,5.0439,35.241,13.839,9.1061,19.194,1.699,2.309,11.552,6.337,20.482,20,19.963,9.976,14.736,38,27,16.67,28,38,4
23.344,57,12,51.896,6.9488,35.136,11.188,10.405,49.727,8.768,29.867,6.656,36.999,16.479,7.9813,30.49,13.006,3.7047,10.881,7.4073,24.084,5.791,6.375,5.9561,34.852,13.549,9.0279,19.043,1.6921,2.2979,11.507,6.292,20.181,20,19.736,9.86,14.633,38,26,16.264,28,38,4
22.71,83,14,51.458,6.8855,34.323,11.078,10.229,49.368,8.712,29.074,6.6,38.656,16.439,7.9453,30.316,12.839,3.6989,10.815,7.2394,23.849,5.751,6.3459,5.998,34.476,13.273,8.9525,18.9,1.6851,2.2861,11.463,6.248,19.89,20,19.51,9.744,14.538,35,26,15.88,28,38,4
22.105,22,17,51.03,6.8262,33.541,10.972,10.057,49.014,8.659,28.335,6.545,38.534,16.397,7.9112,30.142,12.678,3.6927,10.748,7.1073,23.623,5.712,6.316,5.9999,34.114,13.012,8.8797,18.765,1.6782,2.2749,11.42,6.202,19.609,20,19.286,9.628,14.451,34,25,15.515,28,36,3
21.53,66,15,50.612,6.7706,32.79,10.871,9.8894,48.667,8.609,27.646,6.491,41.766,16.356,7.8783,29.965,12.524,3.6862,10.681,7.0029,23.406,5.674,6.2859,6,33.765,12.767,8.8097,18.638,1.6714,2.263,11.378,6.156,19.337,20,19.064,9.513,14.37,35,25,15.171,28,36,3
20.982,25,14,50.205,6.7185,32.06,10.773,9.7278,48.323,8.561,27.004,6.437,42.042,16.312,7.8471,29.787,12.375,3.6799,10.613,6.9192,23.197,5.637,6.255,6,33.427,12.541,8.7424,18.518,1.6649,2.251,11.336,6.11,19.074,20,18.842,9.398,14.295,42,24,14.844,54.212,36,3
20.459,63,18,49.807,6.6699,31.36,10.678,9.5728,47.982,8.516,26.407,6.384,39.727,16.268,7.8163,29.607,12.231,3.6733,10.543,6.8508,22.994,5.601,6.2239,6,33.099,12.342,8.6776,18.403,1.6584,2.239,11.295,6.062,18.819,20,18.621,9.283,14.225,38,24,14.532,54.212,36,3
19.961,60,19,49.42,6.6244,30.686,10.587,9.4292,47.647,8.473,25.867,6.331,42.344,16.223,7.7875,29.426,12.093,3.6674,10.474,6.7958,22.798,5.567,6.1925,6.0001,32.782,12.182,8.6155,18.294,1.6521,2.2269,11.257,6.014,18.578,20,18.403,9.169,14.165,58,23,14.234,54.212,36,3
19.497,64,17,49.049,6.5824,30.154,10.499,9.3147,47.341,8.432,25.425,6.281,42.768,16.192,7.7622,29.261,11.968,3.6621,10.413,6.7514,22.627,5.534,6.165,6.002,32.488,12.091,8.5578,18.198,1.6466,2.2141,11.221,5.973,18.346,20,18.207,9.056,14.11,66,23,13.952,54.212,36,3
19.062,44,16,48.687,6.5433,29.635,10.414,9.2098,47.038,8.392,25.192,6.232,41.562,16.159,7.7381,29.095,11.848,3.6569,10.353,6.7187,22.46,5.502,6.1379,6.044,32.202,12.124,8.503,18.106,1.6415,2.2021,11.186,5.932,18.129,20,18.012,8.945,14.059,61,23,13.682,54.212,36,3
18.701,38,16,48.334,6.5067,29.133,10.703,9.1113,46.74,8.355,25.596,6.185,45.069,16.14,7.715,28.947,11.732,3.6517,10.296,6.7032,22.301,5.471,6.11,6.9582,31.93,12.397,8.4501,18.018,1.6368,2.191,11.152,5.899,17.986,18,17.82,8.834,14.01,50,22,13.424,54.212,36,3
18.355,77,17,47.988,6.4723,28.747,10.889,9.0151,46.446,8.319,26.157,6.142,46.021,16.127,7.6922,28.811,11.62,3.6459,10.239,6.7107,22.147,5.44,6.082,7.0439,31.666,12.699,8.3994,17.935,1.6319,2.1799,11.118,5.865,17.857,18,17.63,8.725,13.965,47,22,13.177,54.212,36,6
18.027,27,14,47.648,6.4398,28.366,10.844,8.919,46.153,8.284,26.276,6.098,44.354,16.113,7.671,28.673,11.51,3.64,10.182,6.7347,21.998,5.411,6.0539,7.9999,31.408,12.841,8.3502,17.855,1.627,2.1681,11.084,5.83,17.704,18,17.44,8.618,13.922,50,22,12.94,54.212,36,6
17.748,54,11,47.314,6.409,27.989,10.708,8.823,45.863,8.251,26.064,6.055,40.509,16.097,7.65,28.532,11.402,3.634,10.124,6.7619,21.852,5.382,6.0251,8.9542,31.156,12.857,8.3022,17.778,1.622,2.1569,11.049,5.794,17.54,18,17.251,8.512,13.88,40,22,12.712,54.212,36,7
17.512,43,13,46.985,6.3797,27.618,10.582,8.727,45.575,8.219,25.923,6.011,41.308,16.081,7.6291,28.39,11.297,3.6279,10.065,6.7806,21.71,5.354,5.9969,8.9998,30.91,12.834,8.2555,17.704,1.6171,2.1451,11.015,5.758,17.381,18,17.064,8.407,13.841,39,21,12.493,54.212,36,7
